country,year,iso_code,population,gdp,co2,co2_growth_prct,co2_per_gdp,co2_per_unit_energy,energy_per_capita,primary_energy_consumption,lat,long,continent
Afghanistan,1980,AFG,13356500.0,15329836032.0,1.756,-21.34,0.115,0.225,583.294,7.791,33.7680065,66.2385139,Asia
Afghanistan,1981,AFG,13171679.0,15645343744.0,1.978,12.65,0.126,0.225,666.378,8.777,33.7680065,66.2385139,Asia
Afghanistan,1982,AFG,12882518.0,15980409856.0,2.095,5.87,0.131,0.224,725.66,9.348,33.7680065,66.2385139,Asia
Afghanistan,1983,AFG,12537732.0,16755333120.0,2.52,20.31,0.15,0.22,912.14,11.436,33.7680065,66.2385139,Asia
Afghanistan,1984,AFG,12204306.0,17072152576.0,2.822,11.97,0.165,0.246,941.393,11.489,33.7680065,66.2385139,Asia
Afghanistan,1985,AFG,11938204.0,17108480000.0,3.501,24.1,0.205,0.312,939.612,11.217,33.7680065,66.2385139,Asia
Afghanistan,1986,AFG,11736177.0,17641345024.0,3.134,-10.5,0.178,0.273,976.669,11.462,33.7680065,66.2385139,Asia
Afghanistan,1987,AFG,11604538.0,15810816000.0,3.114,-0.63,0.197,0.169,1592.702,18.483,33.7680065,66.2385139,Asia
Afghanistan,1988,AFG,11618008.0,14499068928.0,2.857,-8.25,0.197,0.088,2805.61,32.596,33.7680065,66.2385139,Asia
Afghanistan,1989,AFG,11868873.0,13489497088.0,2.765,-3.22,0.205,0.086,2700.474,32.052,33.7680065,66.2385139,Asia
Afghanistan,1990,AFG,12412311.0,13065984000.0,2.603,-5.85,0.199,0.082,2557.586,31.746,33.7680065,66.2385139,Asia
Afghanistan,1991,AFG,13299016.0,12047362048.0,2.427,-6.76,0.201,0.175,1045.398,13.903,33.7680065,66.2385139,Asia
Afghanistan,1992,AFG,14485543.0,12677538816.0,1.379,-43.17,0.109,0.15,632.892,9.168,33.7680065,66.2385139,Asia
Afghanistan,1993,AFG,15816601.0,9834580992.0,1.333,-3.36,0.135,0.146,575.683,9.105,33.7680065,66.2385139,Asia
Afghanistan,1994,AFG,17075728.0,7919857152.0,1.282,-3.86,0.162,0.145,516.283,8.816,33.7680065,66.2385139,Asia
Afghanistan,1995,AFG,18110662.0,12307525632.0,1.23,-3.99,0.1,0.166,410.195,7.429,33.7680065,66.2385139,Asia
Afghanistan,1996,AFG,18853444.0,12070125568.0,1.165,-5.33,0.097,0.16,386.445,7.286,33.7680065,66.2385139,Asia
Afghanistan,1997,AFG,19357126.0,11850752000.0,1.084,-6.94,0.091,0.156,358.42,6.938,33.7680065,66.2385139,Asia
Afghanistan,1998,AFG,19737770.0,11692172288.0,1.029,-5.07,0.088,0.152,342.097,6.752,33.7680065,66.2385139,Asia
Afghanistan,1999,AFG,20170848.0,11517317120.0,0.81,-21.34,0.07,0.12,334.576,6.749,33.7680065,66.2385139,Asia
Afghanistan,2000,AFG,20779958.0,11283792896.0,0.758,-6.4,0.067,0.128,284.582,5.914,33.7680065,66.2385139,Asia
Afghanistan,2001,AFG,21606992.0,11021273088.0,0.798,5.32,0.072,0.171,215.86,4.664,33.7680065,66.2385139,Asia
Afghanistan,2002,AFG,22600774.0,18804871168.0,1.052,31.79,0.056,0.237,195.93,4.428,33.7680065,66.2385139,Asia
